alt_identifier,ImageNumber,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal,tumour_purity
CR053,122,0.008511703592439605,0.01464513706346226,0.014019276505194642,0.4710226561522093,0.01627237451495807,0.0684691450744774,0.017899611966453875,0.014519964951808738,0.2494680185254725,0.1251721116535236,0.7383902866441356
CR053,123,0.03862902092990589,0.07262255934822306,0.04003371260008428,0.284590532378143,0.08428150021070376,0.11855597696305661,0.010113780025284451,0.01685630004214075,0.09130495856159573,0.2430116589408625,0.38600927096502324
CR054,42,0.010488505747126438,0.028879310344827585,0.030028735632183907,0.3067528735632184,0.09166666666666666,0.03735632183908046,0.013793103448275862,0.015517241379310345,0.1735632183908046,0.29195402298850576,0.4941091954022988
CR054,43,0.010721944245889922,0.020443173695496784,0.021729807005003574,0.25618298784846316,0.036311651179413866,0.055182273052180125,0.019442458899213724,0.009864188706218727,0.20471765546819157,0.3654038598999285,0.4803431022158684
CR054,44,0.01978206202849958,0.07376362112321877,0.08231349538977369,0.049287510477787094,0.08801341156747695,0.07191953059513831,0.012405699916177704,0.008885163453478626,0.008717518860016765,0.5849119865884326,0.07041072925398156
CR055,124,0.014292520247737018,0.04013816102906146,0.06896141019533111,0.16353025250119105,0.06896141019533111,0.34707003334921394,0.014530728918532635,0,0.019056693663649357,0.26345878989995236,0.19711767508337302
CR055,125,0.02529664884600339,0.102099361064024,0.0966227669839614,0.1555613508932064,0.21449993480245141,0.22649628373973138,0.01434346068587821,0.004042248011474768,0.020080844960229497,0.14095710001303952,0.18998565653931412
CR056,45,0.018680167597765363,0.014490223463687151,0.03718575418994413,0.3331005586592179,0.06494413407821228,0.021473463687150838,0.007506983240223464,0.01518854748603352,0.21927374301675978,0.2681564245810056,0.5598812849162011
CR056,46,0.013390928725701945,0.011375089992800576,0.0251979841612671,0.23988480921526278,0.07401007919366451,0.02159827213822894,0.006767458603311735,0.012670986321094313,0.2691144708423326,0.3259899208063355,0.515766738660907
CR056,47,0.013236390753169276,0.017897091722595078,0.030014914243102164,0.3376211782252051,0.05201342281879195,0.027404921700223715,0.01081282624906786,0.007457121551081283,0.2086129753914989,0.2949291573452647,0.5570469798657719
CR057,126,0.020299954552340554,0.024390243902439025,0.10604453870625663,0.15830934706862596,0.08089683381305862,0.1445235570368126,0.07589759127404938,0.0043932737464020604,0.026965611271019544,0.3582790486289956,0.2611725496136949
CR057,127,0.02204301075268817,0.054838709677419356,0.015591397849462365,0.1721774193548387,0.17473118279569894,0.08951612903225807,0.14637096774193548,0.005376344086021506,0.053763440860215055,0.26559139784946234,0.37231182795698925
CR058,128,0.01651376146788991,0.15137614678899083,0.26055045871559634,0.05137614678899083,0.11284403669724771,0.04128440366972477,0.0045871559633027525,0.015596330275229359,0.0045871559633027525,0.3412844036697248,0.060550458715596334
CR058,129,0.027927182457592056,0.048820852296235,0.0618535374431113,0.40877120397186595,0.07819611088125776,0.1077782374844849,0.006206040546131568,0.01779064956557716,0.05585436491518411,0.1868018204385602,0.4708316094331816
CR058,130,0.003528773072747014,0.018458197611292075,0.21498371335504887,0.6137350705754615,0.05347448425624322,0.05727470141150923,0.004885993485342019,0.0019001085776330076,8.143322475570033e-4,0.030944625407166124,0.6194353963083605
