alt_identifier,File Name,k8_cn,B cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal,CD4 T cell
CR124,8,P53+ Tumor,0.004164497657470068,0.007287870900572618,0.2795419052576783,0.0026028110359187923,5.205622071837585e-4,0.551795939614784,0,0.10619469026548672,0.03279541905257678,0.015096304008328995
CR124,8,Proliferative Tumor,0.007722007722007722,0.003861003861003861,0.33204633204633205,0.007722007722007722,0,0.138996138996139,0,0.4826254826254826,0.023166023166023165,0.003861003861003861
CR124,8,Stromal,0.008272058823529412,0.012867647058823529,0.001838235294117647,0.050551470588235295,0.001838235294117647,9.191176470588235e-4,0.004595588235294118,9.191176470588235e-4,0.8299632352941176,0.08823529411764706
CR124,9,Bulk Tumor,0.009126466753585397,0.01075619295958279,0.7262059973924381,0.003585397653194263,0.01564537157757497,0.040091264667535854,9.778357235984355e-4,0.04139504563233377,0.10821382007822686,0.0440026075619296
CR124,9,CD8+ T cell enriched,0.012396694214876033,0.30165289256198347,0.028925619834710745,0.045454545454545456,0.04132231404958678,0,0,0.008264462809917356,0.1446280991735537,0.41735537190082644
CR124,9,Immune-enriched stromal,0.021164021164021163,0.034151034151034154,0.13612313612313612,0.04954304954304954,0.04040404040404041,0.022126022126022125,0.005291005291005291,0.013468013468013467,0.48532948532948533,0.1924001924001924
CR124,9,Mixed Immune,0.02514792899408284,0.04142011834319527,0.020710059171597635,0.22928994082840237,0.060650887573964495,0.005917159763313609,0.004437869822485207,0.0029585798816568047,0.19822485207100593,0.41124260355029585
CR124,9,NK-cell enriched,0.013986013986013986,0.055944055944055944,0.11188811188811189,0.03496503496503497,0.5034965034965035,0.02097902097902098,0,0.027972027972027972,0.13986013986013987,0.09090909090909091
CR124,9,P53+ Tumor,0.008645533141210375,0.01729106628242075,0.24495677233429394,0.002881844380403458,0.008645533141210375,0.45821325648414984,0,0.13256484149855907,0.07780979827089338,0.04899135446685879
CR124,9,Proliferative Tumor,0,0.02666666666666667,0.30666666666666664,0,0.03333333333333333,0.10666666666666667,0,0.4266666666666667,0.05333333333333334,0.04666666666666667
