alt_identifier,k8_cn,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal
CR027,Proliferative Tumor,0.001422475106685633,9.48316737790422e-4,0.03793266951161688,0.19724988146040778,9.48316737790422e-4,0.02275960170697013,0.1541014698909436,0.002370791844476055,0.5680417259364627,0.01422475106685633
CR027,Stromal,0.009068923821039904,0.04534461910519952,0.021160822249093107,0.008464328899637243,0.030229746070133012,0.04534461910519952,0.0018137847642079807,0.0036275695284159614,6.045949214026602e-4,0.8343409915356711
CR034,Bulk Tumor,0.003386550556361877,0.0043541364296081275,0.03193033381712627,0.7058538945331398,0.011127237542331882,0.045960328979196906,0.06773101112723755,0.0043541364296081275,0.09337203676826318,0.03193033381712627
CR034,CD8+ T cell enriched,0.020618556701030927,0.14432989690721648,0.3938144329896907,0.088659793814433,0.03711340206185567,0.061855670103092786,0.04742268041237113,0.026804123711340205,0.05979381443298969,0.11958762886597939
CR034,Immune-enriched stromal,0.026062550120288693,0.08219727345629511,0.05132317562149158,0.10946271050521252,0.0681635926222935,0.08620689655172414,0.041299117882919005,0.024057738572574178,0.03769045709703288,0.4735364875701684
CR034,Mixed Immune,0.030303030303030304,0.15702479338842976,0.05785123966942149,0.07300275482093664,0.3071625344352617,0.08264462809917356,0.03856749311294766,0.023415977961432508,0.03443526170798898,0.19559228650137742
CR034,NK-cell enriched,0.016652059596844872,0.03067484662576687,0.035056967572304996,0.08851884312007012,0.03155127081507449,0.567922874671341,0.033304119193689745,0.014022787028921999,0.049079754601226995,0.13321647677475898
CR034,P53+ Tumor,0.0034458993797381117,0.004479669193659545,0.033425223983459686,0.191592005513439,0.014128187456926258,0.042729152308752585,0.46623018607856653,0.006202618883528601,0.19538249483115094,0.042384562370778776
CR034,Proliferative Tumor,0.0036021058464948737,0.005264616237184816,0.03685231366029371,0.18204488778054864,0.00942089221390967,0.041285674702133554,0.13632585203657524,0.006372956497644777,0.5525076198392906,0.02632308118592408
CR034,Stromal,0.006696428571428571,0.027901785714285716,0.015625,0.015625,0.03125,0.0390625,0.010044642857142858,0.006696428571428571,0.0011160714285714285,0.8459821428571429
CR038,Bulk Tumor,0.007026245091961149,0.0039264310808018186,0.007439553626782393,0.7013845835916511,0.009919404835709857,0.01425914445133292,0.019218846869187848,0.0047530481504443065,0.1932217400289316,0.03885100227319694
CR038,CD8+ T cell enriched,0.023255813953488372,0.11046511627906977,0.5174418604651163,0.01744186046511628,0.05813953488372093,0.023255813953488372,0.011627906976744186,0.01744186046511628,0.01744186046511628,0.20348837209302326
CR038,Immune-enriched stromal,0.025116082735331363,0.08927817644575771,0.03651329674968341,0.06627268889826932,0.0901224145208949,0.0445335584634867,0.01118615449556775,0.042845082313212324,0.04010130856901646,0.5540312368087801
CR038,Mixed Immune,0.014925373134328358,0.2066590126291619,0.02525832376578645,0.03788748564867968,0.3547646383467279,0.04707233065442021,0.011481056257175661,0.045924225028702644,0.01722158438576349,0.23880597014925373
